State,Year,Quater,Reg_user,Device_brand,Device_count
andaman-&-nicobar-islands,2018,1,6740,Xiaomi,1665
andaman-&-nicobar-islands,2018,2,9405,Xiaomi,2303
andaman-&-nicobar-islands,2018,3,12149,Xiaomi,2950
andaman-&-nicobar-islands,2018,4,15222,Xiaomi,3719
andaman-&-nicobar-islands,2019,1,18596,Xiaomi,4576
andaman-&-nicobar-islands,2019,2,21731,Xiaomi,5296
andaman-&-nicobar-islands,2019,3,23931,Xiaomi,5819
andaman-&-nicobar-islands,2019,4,25960,Xiaomi,6259
andaman-&-nicobar-islands,2020,1,28368,Xiaomi,6803
andaman-&-nicobar-islands,2020,2,32710,Xiaomi,7805
andaman-&-nicobar-islands,2020,3,41335,Xiaomi,9794
andaman-&-nicobar-islands,2020,4,52396,Xiaomi,12398
andaman-&-nicobar-islands,2021,1,57758,Vivo,13812
andaman-&-nicobar-islands,2021,2,62095,Vivo,15056
andaman-&-nicobar-islands,2021,3,66982,Vivo,16411
andaman-&-nicobar-islands,2021,4,71780,Vivo,17597
andaman-&-nicobar-islands,2022,1,76288,Vivo,18688
andaman-&-nicobar-islands,2022,2,80530,Vivo,18688
andaman-&-nicobar-islands,2022,3,84642,Vivo,18688
andaman-&-nicobar-islands,2022,4,88442,Vivo,18688
andhra-pradesh,2018,1,3336450,Xiaomi,836581
andhra-pradesh,2018,2,4402540,Xiaomi,1113800
andhra-pradesh,2018,3,5427617,Xiaomi,1385112
andhra-pradesh,2018,4,6857409,Xiaomi,1753802
andhra-pradesh,2019,1,8283019,Xiaomi,2110547
andhra-pradesh,2019,2,9389003,Xiaomi,2389374
andhra-pradesh,2019,3,10458693,Xiaomi,2656468
andhra-pradesh,2019,4,11757883,Xiaomi,2985953
andhra-pradesh,2020,1,13022060,Xiaomi,3307542
andhra-pradesh,2020,2,14319675,Xiaomi,3635594
andhra-pradesh,2020,3,15692405,Xiaomi,3978789
andhra-pradesh,2020,4,17076565,Xiaomi,4325662
andhra-pradesh,2021,1,18363733,Xiaomi,4644641
andhra-pradesh,2021,2,19620905,Xiaomi,4937684
andhra-pradesh,2021,3,21059898,Xiaomi,5256707
andhra-pradesh,2021,4,22489029,Xiaomi,5518238
andhra-pradesh,2022,1,23857951,Xiaomi,5743382
andhra-pradesh,2022,2,25157264,Xiaomi,5743382
andhra-pradesh,2022,3,26496330,Xiaomi,5743382
andhra-pradesh,2022,4,27778016,Xiaomi,5743382
arunachal-pradesh,2018,1,21495,Xiaomi,5212
arunachal-pradesh,2018,2,32883,Xiaomi,8058
arunachal-pradesh,2018,3,45922,Xiaomi,11250
arunachal-pradesh,2018,4,61852,Xiaomi,15097
arunachal-pradesh,2019,1,76957,Xiaomi,18809
arunachal-pradesh,2019,2,95885,Xiaomi,23326
arunachal-pradesh,2019,3,112149,Xiaomi,27394
arunachal-pradesh,2019,4,129321,Xiaomi,31369
arunachal-pradesh,2020,1,149066,Xiaomi,35625
arunachal-pradesh,2020,2,177534,Xiaomi,41662
arunachal-pradesh,2020,3,206046,Xiaomi,47870
arunachal-pradesh,2020,4,231292,Vivo,53198
arunachal-pradesh,2021,1,251240,Vivo,58748
arunachal-pradesh,2021,2,270572,Vivo,63439
arunachal-pradesh,2021,3,293073,Vivo,69301
arunachal-pradesh,2021,4,314944,Vivo,74157
arunachal-pradesh,2022,1,335339,Vivo,78763
arunachal-pradesh,2022,2,354528,Vivo,78763
arunachal-pradesh,2022,3,373372,Vivo,78763
arunachal-pradesh,2022,4,390307,Vivo,78763
assam,2018,1,385237,Xiaomi,101793
assam,2018,2,571046,Xiaomi,152839
assam,2018,3,784802,Xiaomi,210185
assam,2018,4,1039221,Xiaomi,277115
assam,2019,1,1259085,Xiaomi,334681
assam,2019,2,1500128,Xiaomi,397560
assam,2019,3,1731523,Xiaomi,463729
assam,2019,4,1941220,Xiaomi,517791
assam,2020,1,2185938,Xiaomi,576697
assam,2020,2,2550883,Xiaomi,663323
assam,2020,3,2830011,Xiaomi,729048
assam,2020,4,3106153,Xiaomi,792324
assam,2021,1,3358448,Xiaomi,852998
assam,2021,2,3617056,Xiaomi,909274
assam,2021,3,3918480,Xiaomi,977013
assam,2021,4,4209591,Xiaomi,1040847
assam,2022,1,4492589,Xiaomi,1094829
assam,2022,2,4755787,Xiaomi,1094829
assam,2022,3,5016910,Xiaomi,1094829
assam,2022,4,5247776,Xiaomi,1094829
bihar,2018,1,2133804,Xiaomi,596264
bihar,2018,2,3005872,Xiaomi,856356
bihar,2018,3,3784535,Xiaomi,1098938
bihar,2018,4,4776665,Xiaomi,1399341
bihar,2019,1,5745117,Xiaomi,1691958
bihar,2019,2,6589759,Xiaomi,1953040
