State,Year,Quater,District,reg_user,app_opens
"north and middle andaman district",2018,1,"north and middle andaman district",632,0
"south andaman district",2018,1,"south andaman district",5846,0
"nicobars district",2018,1,"nicobars district",262,0
"north and middle andaman district",2018,2,"north and middle andaman district",911,0
"south andaman district",2018,2,"south andaman district",8143,0
"nicobars district",2018,2,"nicobars district",351,0
"north and middle andaman district",2018,3,"north and middle andaman district",1208,0
"south andaman district",2018,3,"south andaman district",10474,0
"nicobars district",2018,3,"nicobars district",467,0
"north and middle andaman district",2018,4,"north and middle andaman district",1553,0
"south andaman district",2018,4,"south andaman district",13133,0
"nicobars district",2018,4,"nicobars district",536,0
"north and middle andaman district",2019,1,"north and middle andaman district",2013,0
"south andaman district",2019,1,"south andaman district",15961,0
"nicobars district",2019,1,"nicobars district",622,0
"north and middle andaman district",2019,2,"north and middle andaman district",2417,6118
"south andaman district",2019,2,"south andaman district",18621,43569
"nicobars district",2019,2,"nicobars district",693,2953
"north and middle andaman district",2019,3,"north and middle andaman district",2662,22064
"south andaman district",2019,3,"south andaman district",20518,138190
"nicobars district",2019,3,"nicobars district",751,10853
"north and middle andaman district",2019,4,"north and middle andaman district",2955,26253
"south andaman district",2019,4,"south andaman district",22202,139646
"nicobars district",2019,4,"nicobars district",803,11113
"north and middle andaman district",2020,1,"north and middle andaman district",3315,30444
"south andaman district",2020,1,"south andaman district",24174,151529
"nicobars district",2020,1,"nicobars district",879,11613
"north and middle andaman district",2020,2,"north and middle andaman district",4100,56992
"south andaman district",2020,2,"south andaman district",27626,231071
"nicobars district",2020,2,"nicobars district",984,17009
"north and middle andaman district",2020,3,"north and middle andaman district",5355,76553
"south andaman district",2020,3,"south andaman district",34833,417785
"nicobars district",2020,3,"nicobars district",1147,21227
"north and middle andaman district",2020,4,"north and middle andaman district",7076,125915
"south andaman district",2020,4,"south andaman district",43908,725321
"nicobars district",2020,4,"nicobars district",1412,35972
"north and middle andaman district",2021,1,"north and middle andaman district",7833,121680
"south andaman district",2021,1,"south andaman district",48352,837589
"nicobars district",2021,1,"nicobars district",1573,45067
