State,Year,Quater,Districts,District_Transation_count,District_Transation_amount
andaman-&-nicobar-islands,2018,1,"north and middle andaman",442,931663.0770939873
andaman-&-nicobar-islands,2018,2,"north and middle andaman",825,1317863.0834906558
andaman-&-nicobar-islands,2018,3,"north and middle andaman",1283,4901529.518499676
andaman-&-nicobar-islands,2018,4,nicobars,1485,7180859.354911782
andaman-&-nicobar-islands,2019,1,nicobars,1539,7236059.549389593
andaman-&-nicobar-islands,2019,2,nicobars,1828,9111650.82436246
andaman-&-nicobar-islands,2019,3,nicobars,2300,11566421.475451011
andaman-&-nicobar-islands,2019,4,nicobars,2600,12384161.52668771
andaman-&-nicobar-islands,2020,1,nicobars,2911,12099543.773590053
andaman-&-nicobar-islands,2020,2,nicobars,3895,14341508.60470232
andaman-&-nicobar-islands,2020,3,nicobars,5413,22166453.754695382
andaman-&-nicobar-islands,2020,4,nicobars,8688,35218871.04342848
andaman-&-nicobar-islands,2021,1,nicobars,10302,39075266.9856904
andaman-&-nicobar-islands,2021,2,nicobars,15307,48020606.74716838
andaman-&-nicobar-islands,2021,3,nicobars,20754,74980519.32813609
andaman-&-nicobar-islands,2021,4,nicobars,24437,81329281.0269996
andaman-&-nicobar-islands,2022,1,nicobars,29177,94414127.64974089
andaman-&-nicobar-islands,2022,2,nicobars,43769,132900618.93062323
andaman-&-nicobar-islands,2022,3,nicobars,49550,131330400.94545083
andaman-&-nicobar-islands,2022,4,nicobars,58646,142355853.97352523
andhra-pradesh,2018,1,"spsr nellore",531612,676643237.8069417
andhra-pradesh,2018,2,prakasam,739991,1571167562.1276274
andhra-pradesh,2018,3,prakasam,1319651,2346453445.4838424
andhra-pradesh,2018,4,prakasam,1692862,3255254226.03728
andhra-pradesh,2019,1,ysr,2852197,4915811593.896078
andhra-pradesh,2019,2,ysr,2606284,6376856828.130632
andhra-pradesh,2019,3,ysr,3296586,7447544274.2117815
andhra-pradesh,2019,4,ysr,4793157,10865073855.730782
andhra-pradesh,2020,1,ysr,6031255,14059924636.819914
andhra-pradesh,2020,2,ysr,8033609,19597207268.132023
andhra-pradesh,2020,3,ysr,11934653,32037007334.12973
andhra-pradesh,2020,4,ysr,15676878,42572974713.440254
andhra-pradesh,2021,1,ysr,15374473,42570919448.50447
andhra-pradesh,2021,2,prakasam,19944047,54535328043.04135
andhra-pradesh,2021,3,prakasam,24116580,63367713446.928055
andhra-pradesh,2021,4,prakasam,27858275,71323060008.47623
andhra-pradesh,2022,1,prakasam,31340975,79494373254.71565
andhra-pradesh,2022,2,prakasam,36163507,90435082545.97768
andhra-pradesh,2022,3,prakasam,35376080,87475230073.46387
andhra-pradesh,2022,4,prakasam,37211077,88105031866.36835
arunachal-pradesh,2018,1,namsai,1400,2162984.705083958
arunachal-pradesh,2018,2,"lower siang",2292,2179451.657976534
arunachal-pradesh,2018,3,tirap,3322,7479257.007852319
arunachal-pradesh,2018,4,"lower dibang valley",4227,10951332.393937869
arunachal-pradesh,2019,1,"lower dibang valley",6314,13738776.18143886
arunachal-pradesh,2019,2,longding,6744,23464027.892812617
arunachal-pradesh,2019,3,longding,10269,26620415.019238282
arunachal-pradesh,2019,4,"lower subansiri",11806,29634357.486805215
arunachal-pradesh,2020,1,"lower subansiri",15770,34273250.7179902
arunachal-pradesh,2020,2,"lower dibang valley",26234,42360072.52689613
arunachal-pradesh,2020,3,"lower dibang valley",27655,63469161.328603886
arunachal-pradesh,2020,4,"lower dibang valley",33455,81929299.56817816
arunachal-pradesh,2021,1,tirap,32043,110593517.14623192
arunachal-pradesh,2021,2,"lower dibang valley",42091,105552358.12192997
arunachal-pradesh,2021,3,tirap,47118,143620525.85725695
arunachal-pradesh,2021,4,"lower subansiri",60146,199366119.13556093
arunachal-pradesh,2022,1,"lower subansiri",73100,239825149.91154164
arunachal-pradesh,2022,2,"lower subansiri",94109,287993729.77118087
arunachal-pradesh,2022,3,"lower subansiri",109261,285712248.1429684
arunachal-pradesh,2022,4,"lower dibang valley",137218,308329533.63406837
assam,2018,1,jorhat,33322,41164542.05596451
assam,2018,2,jorhat,53341,70634515.73039348
assam,2018,3,jorhat,79724,118008412.28630178
assam,2018,4,dhubri,120810,181651044.89215764
assam,2019,1,dhubri,129363,168832530.51137578
assam,2019,2,jorhat,129744,231878110.7193352
assam,2019,3,golaghat,121795,194779142.64060068
assam,2019,4,goalpara,139662,282003507.8056698
assam,2020,1,golaghat,179380,301335497.7930421
assam,2020,2,golaghat,290221,381486790.0123421
assam,2020,3,golaghat,278714,484885427.8581189
assam,2020,4,goalpara,381733,1018165139.8396726
assam,2021,1,jorhat,388882,856404785.4295709
assam,2021,2,dhubri,528440,1316708576.7981753
assam,2021,3,goalpara,650085,1747257315.9936595
assam,2021,4,goalpara,920783,2590433257.901761
assam,2022,1,darrang,1205741,2732173374.6894684
assam,2022,2,goalpara,1660385,4241626695.28664
assam,2022,3,goalpara,2054687,4590076568.303604
assam,2022,4,bongaigaon,2301942,4663672960.523357
bihar,2018,1,rohtas,201231,181378994.9786085
bihar,2018,2,madhubani,286112,554829469.6286854
bihar,2018,3,darbhanga,413648,764466707.7610799
bihar,2018,4,darbhanga,515957,1142706537.988927
bihar,2019,1,vaishali,749004,1174950625.584596
bihar,2019,2,saran,660816,1511533675.4801161
bihar,2019,3,madhubani,732727,1815165089.5718448
